cpu	benchmark	price
Intel Xeon E5-2630 v3 @ 2.40GHz	9662	90.10
Intel Core i5-9400F @ 2.90GHz	9639	149.14
Intel Xeon E-2144G @ 3.60GHz	9632	338.28
Intel Xeon E5-2618L v3 @ 2.30GHz	9602	NaN
Intel Core i7-4930K @ 3.40GHz	9586	799.97
Intel Core i7-7740X @ 4.30GHz	9585	440.00
Intel Core i5-9600T @ 2.30GHz	9513	213.00
Intel Core i5-10300H @ 2.50GHz	9501	NaN
Intel Xeon E5-2670 @ 2.60GHz	9496	109.00
Intel Core i7-4960X @ 3.60GHz	9473	769.99
Intel Core i5-9400 @ 2.90GHz	9444	168.15
Intel Xeon E5-2680 @ 2.70GHz	9441	61.48
AMD Ryzen 5 3400G	9429	249.99
Intel Core i5-8500 @ 3.00GHz	9421	187.00
Intel Xeon E5-2628L v3 @ 2.00GHz	9354	NaN
Intel Xeon E5-2697 v2 @ 2.70GHz	9338	298.99
Intel Xeon E3-1285 v6 @ 4.10GHz	9313	998.95
Intel Core i5-8400 @ 2.80GHz	9277	179.99
Intel Core i7-9850HL @ 1.90GHz	9216	395.00
AMD Opteron 6348	9151	296.20
Intel Core i7-1065G7 @ 1.30GHz	9110	NaN
Intel Core i5-8600T @ 2.30GHz	9088	366.99
Intel Core i7-6700K @ 4.00GHz	9087	290.00
Intel Xeon E5-4655 v3 @ 2.90GHz	9077	4616.00
Intel Xeon E3-1280 v6 @ 3.90GHz	9076	442.93
Intel Xeon W-2123 @ 3.60GHz	9064	312.99
Intel Xeon E5-2643 v2 @ 3.50GHz	8990	230.57
AMD Ryzen 5 1500X	8982	178.86
AMD Ryzen 5 PRO 3400G	8919	NaN
AMD Ryzen 5 2400G	8912	358.00
Intel Core i5-3170K @ 3.20GHz	8882	NaN
Intel Xeon W-2223 @ 3.60GHz	8853	297.00
Intel Xeon E-2134 @ 3.50GHz	8843	270.99
Intel Xeon E5-2658 v2 @ 2.40GHz	8837	179.99
Intel Core i7-8809G @ 3.10GHz	8827	NaN
Intel Xeon E5-1650 v2 @ 3.50GHz	8764	110.42
Intel Core i5-1035G7 @ 1.20GHz	8744	320.00
Intel Xeon E3-1270 v6 @ 3.80GHz	8732	388.92
Intel Xeon D-1531 @ 2.20GHz	8691	348.00
Intel Xeon D-1559 @ 1.50GHz	8687	NaN
Intel Core i7-3960X @ 3.30GHz	8647	809.99
Intel Core i7-7700 @ 3.60GHz	8642	359.99
Intel Xeon E3-1535M v6 @ 3.10GHz	8623	623.00
Intel Xeon E5-4627 v2 @ 3.30GHz	8608	508.95
AMD Ryzen 5 PRO 2400G	8584	NaN
Intel Core i7-3970X @ 3.50GHz	8574	689.99
AMD Ryzen 5 3400GE	8565	NaN
Intel Xeon E3-1275 v6 @ 3.80GHz	8564	799.95
Intel Core i5-1035G4 @ 1.10GHz	8542	309.00
Intel Xeon E5-1660 @ 3.30GHz	8531	1226.66
Intel Xeon E5-2665 @ 2.40GHz	8523	64.99
Intel Xeon E5-2629 v3 @ 2.40GHz	8520	NaN
Intel Xeon E5-4648 v3 @ 1.70GHz	8519	NaN
Intel Xeon E3-1585 v5 @ 3.50GHz	8509	556.00
Intel Core i7-8559U @ 2.70GHz	8505	899.99
Intel Xeon E5-2637 v4 @ 3.50GHz	8491	1049.00
Intel Core i5-8400H @ 2.50GHz	8486	250.00
Intel Xeon Silver 4112 @ 2.60GHz	8472	518.99
AMD Ryzen 7 3750H	8472	NaN
Intel Core i5-9400H @ 2.50GHz	8464	250.00
Intel Xeon D-1537 @ 1.70GHz	8445	571.00
Intel Xeon D-1539 @ 1.60GHz	8444	486.00
Intel Xeon E3-1270 v5 @ 3.60GHz	8404	435.90
Intel Core i5-8259U @ 2.30GHz	8394	629.00
AMD Ryzen 5 PRO 3400GE	8371	NaN
AMD Ryzen 3 4300U	8364	NaN
Intel Xeon E3-1240 v5 @ 3.50GHz	8320	341.67
Intel Xeon E3-1245 v5 @ 3.50GHz	8300	345.31
Intel Xeon E3-1275 v5 @ 3.60GHz	8288	360.00
Intel Core i5-8257U @ 1.40GHz	8246	320.00
Intel Core i5-8500T @ 2.10GHz	8238	234.36
Intel Xeon E5-4650L @ 2.60GHz	8224	73.98
Intel Xeon E3-1245 v6 @ 3.70GHz	8221	679.95
Intel Xeon E3-1575M v5 @ 3.00GHz	8203	1207.00
Intel Xeon E-2224 @ 3.40GHz	8202	198.00
Intel Xeon E3-1585L v5 @ 3.00GHz	8173	445.00
Intel Core i7-8706G @ 3.10GHz	8168	NaN
Intel Xeon E5-1650 @ 3.20GHz	8167	95.10
Intel Core i5-9500T @ 2.20GHz	8162	192.00
Intel Xeon E5-2470 v2 @ 2.40GHz	8161	300.99
Intel Core i7-4790K @ 4.00GHz	8159	325.00
Intel Core i7-6700 @ 3.40GHz	8157	269.99
Intel Xeon E3-1280 v5 @ 3.70GHz	8145	425.00
AMD Ryzen 5 3550H	8134	NaN
Intel Xeon E3-1240 v6 @ 3.70GHz	8127	498.95
Intel Core i5-9300H @ 2.40GHz	8123	250.00
Intel Xeon D-2123IT @ 2.20GHz	8105	213.00
Intel Core i7-3930K @ 3.20GHz	8065	174.99
Intel Xeon E-2224G @ 3.50GHz	8056	218.00
AMD Ryzen 3 2300X	8053	208.99
Intel Xeon E-2124G @ 3.40GHz	8038	230.16
Intel Xeon E5-2648L v3 @ 1.80GHz	8024	1560.86
Intel Xeon E3-1515M v5 @ 2.80GHz	8013	NaN
Intel Xeon D-1528 @ 1.90GHz	8010	NaN
Intel Core i7-7700T @ 2.90GHz	7993	385.00
Intel Core i3-9350KF @ 4.00GHz	7984	177.68
Intel Core i5-8279U @ 2.40GHz	7983	320.00
Intel Core i7-7920HQ @ 3.10GHz	7976	568.00
AMD Ryzen 5 3580U	7976	NaN
Intel Core i7-7820HK @ 2.90GHz	7952	378.00
Intel Xeon E5-2620 v4 @ 2.10GHz	7945	397.99
Intel Xeon E5-2660 @ 2.20GHz	7944	53.34
AMD Ryzen 5 1400	7941	186.86
Intel Xeon E3-1545M v5 @ 2.90GHz	7936	NaN
Intel Xeon E5-1630 v4 @ 3.70GHz	7911	NaN
Intel Xeon E3-1260L v5 @ 2.90GHz	7894	736.16
Intel Core i7-8557U @ 1.70GHz	7885	431.00
Intel Core i5-1035G1 @ 1.00GHz	7863	297.00
AMD Ryzen 3 PRO 1300	7825	NaN
Intel Xeon E5-4650 @ 2.70GHz	7825	69.99
Intel Core i7-8709G @ 3.10GHz	7794	NaN
Intel Core i5-9300HF @ 2.40GHz	7792	250.00
Intel Xeon E5-2620 v3 @ 2.40GHz	7776	29.24
Intel Core i5-8400T @ 1.70GHz	7764	189.00
AMD Ryzen Embedded V1807B	7764	NaN
Intel Xeon E5-2648L v2 @ 1.90GHz	7751	1479.00
Intel Core i7-5775C @ 3.30GHz	7747	686.32
Intel Xeon E5-2651 v2 @ 1.80GHz	7740	NaN
Intel Xeon E3-1230 v6 @ 3.50GHz	7732	225.00
Intel Core i7-6920HQ @ 2.90GHz	7699	568.00
AMD Ryzen 5 PRO 2400GE	7689	NaN
Intel Xeon E-2254ML @ 1.70GHz	7686	NaN
Intel Core i5-9400T @ 1.80GHz	7683	182.00
Intel Xeon E3-1285L v4 @ 3.40GHz	7648	NaN
AMD Ryzen Embedded V1756B	7627	NaN
Intel Xeon E-2124 @ 3.30GHz	7609	211.45
Intel Xeon E5-2470 @ 2.30GHz	7604	88.99
Intel Core i7-5775R @ 3.30GHz	7590	NaN
Intel Xeon E5-1630 v3 @ 3.70GHz	7574	184.99
Intel Core i5-8300H @ 2.30GHz	7551	250.00
Intel Core i3-9320 @ 3.70GHz	7541	162.00
AMD Ryzen 5 PRO 3500U	7537	NaN
Intel Xeon E5-2687W @ 3.10GHz	7526	205.09
Intel Xeon E5-2637 v3 @ 3.50GHz	7517	145.51
Intel Xeon E3-1286 v3 @ 3.70GHz	7513	839.00
Intel Core i7-5950HQ @ 2.90GHz	7501	NaN
AMD Ryzen 5 2400GE	7500	NaN
AMD Ryzen 7 PRO 2700U	7486	NaN
Intel Xeon E3-1271 v3 @ 3.60GHz	7458	888.00
Intel Core i3-9300 @ 3.70GHz	7447	173.99
Intel Xeon E3-1270L v4 @ 3.00GHz	7437	NaN
AMD Ryzen 7 2800H	7432	NaN
Intel Xeon E5-1620 v4 @ 3.50GHz	7419	460.00
Intel Core i7-6700T @ 2.80GHz	7417	254.99
Intel Xeon E3-1230 v5 @ 3.40GHz	7414	341.53
Intel Xeon E5-2667 @ 2.90GHz	7410	32.03
AMD Ryzen 7 PRO 3700U	7402	NaN
Intel Core i7-7820HQ @ 2.90GHz	7400	378.00
AMD Ryzen 7 3700U	7396	NaN
AMD Ryzen 7 3780U	7392	NaN
Intel Core i7-10510U @ 1.80GHz	7383	409.00
Intel Xeon E3-1535M v5 @ 2.90GHz	7379	623.00
Intel Xeon W-2104 @ 3.20GHz	7377	255.00
Intel Xeon E5-4640 @ 2.40GHz	7360	2730.00
Intel Xeon E5-2630 v2 @ 2.60GHz	7351	35.17
Intel Xeon E3-1505M v5 @ 2.80GHz	7348	NaN
Intel Xeon E3-1285 v3 @ 3.60GHz	7334	NaN
AMD Ryzen 5 2600H	7317	NaN
Intel Xeon E3-1285 v4 @ 3.50GHz	7312	NaN
AMD Ryzen 3 PRO 3200GE	7297	NaN
Intel Xeon E3-1241 v3 @ 3.50GHz	7291	199.99
Intel Xeon E5-2630L v3 @ 1.80GHz	7289	189.76
Intel Xeon E3-1276 v3 @ 3.60GHz	7280	1073.00
Intel Xeon X5679 @ 3.20GHz	7278	NaN
AMD Ryzen 3 3200G	7275	94.99
Intel Xeon E5-2650 @ 2.00GHz	7250	35.10
Intel Core i7-8705G @ 3.10GHz	7228	1408.75
